title,rating,runtime,imdb_rating,genre,release_year,description,director,votes,stars,type
Barbie in the Nutcracker,TV-Y,1hr 16 mins,6.3,"Animation, Family, Musical",2001,"Barbie (Kelly Sheridan) shows that if you are kind, clever and brave, anything is possible in this tale of Clara (Kelly Sheridan) and her amazing Nutcracker (Kirby Morrow), who set off on an adventure to find the Sugarplum Princess.",Owen Hurley,7855,"Kelly Sheridan, Kirby Morrow, Tim Curry, Peter Kelamis, ",Movie
The Best Man Holiday,R,2hr 3 mins,6.6,"Comedy, Drama",2013,"When college friends reunite after 15 years over the Christmas holidays, they discover just how easy it is for long-forgotten rivalries and romances to be reignited.",Malcolm D. Lee,16694,"Monica Calhoun, Morris Chestnut, Melissa De Sousa, Taye Diggs, ",Movie
March of the Wooden Soldiers,Passed,1hr 17 mins,7.1,"Comedy, Family, Fantasy",1934,"Opposing the evil Barnaby, Ollie Dee and Stanley Dum try and fail to pay-off Mother Peep's mortgage and mislead his attempts to marry Little Bo. Enraged, Barnaby's Bogeymen are set on Toyland.",Gus Meins,7433,"Charley Rogers, Stan Laurel, Oliver Hardy, Virginia Karns, Charlotte Henry, ",Movie
The Thin Man,TV-PG,1hr 31 mins,7.9,"Comedy, Crime, Mystery",1934,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",W.S. Van Dyke,32021,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, ",Movie
Little Women,Approved,2hr 2 mins,7.2,"Drama, Family, Romance",1949,The four daughters of a New England family fight for happiness during and after the Civil War.,Mervyn LeRoy,8101,"June Allyson, Peter Lawford, Margaret O'Brien, Elizabeth Taylor, ",Movie
Lady in the Lake,Passed,1hr 45 mins,6.5,"Crime, Film-Noir, Mystery",1946,The lady editor of a crime magazine hires Phillip Marlowe to find the wife of her boss. The private detective soon finds himself involved in murder.,Robert Montgomery,6134,"Robert Montgomery, Audrey Totter, Lloyd Nolan, Tom Tully, ",Movie
The Gold Rush,Passed,1hr 35 mins,8.1,"Adventure, Comedy, Drama",1925,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",Charles Chaplin,116901,"Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman, ",Movie
3 Godfathers,Passed,1hr 46 mins,7.0,"Drama, Western",1948,Three outlaws on the run risk their freedom and their lives to return a newborn to civilization.,John Ford,10308,"John Wayne, Pedro Armendáriz, Harry Carey Jr., Ward Bond, ",Movie
12 Gifts of Christmas,TV-G,1hr 24 mins,6.3,"Family, Romance",2015,"With just two weeks left until Christmas, a busy marketing executive hires a struggling artist-turned-personal shopper to help him buy gifts for his friends and family.",Peter Sullivan,5162,"Katrina Law, Aaron O'Connell, Donna Mills, Melanie Nelson, ",Movie
After the Thin Man,Passed,1hr 52 mins,7.6,"Comedy, Crime, Mystery",1936,"Private detective Nick Charles and his wealthy wife Nora are back home at last and hoping for a quiet New Year when there is a murder. The obvious suspect is his wife, Nora's cousin, Selma.",W.S. Van Dyke,11898,"William Powell, Myrna Loy, James Stewart, Elissa Landi, ",Movie
Love Affair,Approved,1hr 28 mins,7.3,"Comedy, Drama, Romance",1939,A French playboy and an American former nightclub singer fall in love aboard a ship.,Leo McCarey,6198,"Irene Dunne, Charles Boyer, Maria Ouspenskaya, Lee Bowman, ",Movie
